YawRotation,Timestamp
-24.133717,2024.10.22-21.08.51
-25.930164,2024.10.22-21.08.51
-27.588926,2024.10.22-21.08.52
-29.163601,2024.10.22-21.08.52
-30.602001,2024.10.22-21.08.52
-31.758055,2024.10.22-21.08.52
-33.281597,2024.10.22-21.08.52
-34.710461,2024.10.22-21.08.52
-35.702930,2024.10.22-21.08.52
-36.877308,2024.10.22-21.08.52
-38.621983,2024.10.22-21.08.52
-40.067810,2024.10.22-21.08.52
-41.261238,2024.10.22-21.08.52
-42.398979,2024.10.22-21.08.52
-43.501228,2024.10.22-21.08.52
-44.322617,2024.10.22-21.08.52
-44.413982,2024.10.22-21.08.52
-44.587013,2024.10.22-21.08.52
-44.862274,2024.10.22-21.08.52
-44.443466,2024.10.22-21.08.52
-43.456963,2024.10.22-21.08.52
-41.910667,2024.10.22-21.08.52
-40.189999,2024.10.22-21.08.52
-38.522079,2024.10.22-21.08.52
-36.543121,2024.10.22-21.08.52
-34.291607,2024.10.22-21.08.52
-31.973286,2024.10.22-21.08.52
-29.466299,2024.10.22-21.08.52
-27.388109,2024.10.22-21.08.52
-25.446983,2024.10.22-21.08.52
-23.984980,2024.10.22-21.08.52
-22.516874,2024.10.22-21.08.52
-21.008059,2024.10.22-21.08.52
-19.630058,2024.10.22-21.08.52
-18.628983,2024.10.22-21.08.52
-17.486256,2024.10.22-21.08.52
-16.374367,2024.10.22-21.08.52
-15.697290,2024.10.22-21.08.52
-14.938213,2024.10.22-21.08.52
-14.133549,2024.10.22-21.08.52
-13.554599,2024.10.22-21.08.52
-13.108296,2024.10.22-21.08.52
-12.896336,2024.10.22-21.08.52
-12.618220,2024.10.22-21.08.52
-12.469403,2024.10.22-21.08.52
-12.276253,2024.10.22-21.08.52
-12.030695,2024.10.22-21.08.52
-11.537692,2024.10.22-21.08.53
-10.752716,2024.10.22-21.08.53
-10.558355,2024.10.22-21.08.53
-10.584067,2024.10.22-21.08.53
-10.844027,2024.10.22-21.08.53
-11.127228,2024.10.22-21.08.53
-11.649360,2024.10.22-21.08.53
-11.915975,2024.10.22-21.08.53
-12.125980,2024.10.22-21.08.53
-12.336768,2024.10.22-21.08.53
-12.341526,2024.10.22-21.08.53
-11.889599,2024.10.22-21.08.53
-11.589869,2024.10.22-21.08.53
-11.498117,2024.10.22-21.08.53
-11.504063,2024.10.22-21.08.53
-11.622079,2024.10.22-21.08.53
-11.957555,2024.10.22-21.08.53
-12.099952,2024.10.22-21.08.53
-12.098824,2024.10.22-21.08.53
-12.196780,2024.10.22-21.08.53
-12.153677,2024.10.22-21.08.53
-12.137346,2024.10.22-21.08.53
-11.985536,2024.10.22-21.08.53
-11.430059,2024.10.22-21.08.53
-10.914180,2024.10.22-21.08.53
-9.920966,2024.10.22-21.08.53
-8.823027,2024.10.22-21.08.53
-7.467824,2024.10.22-21.08.53
-6.435798,2024.10.22-21.08.53
-5.644345,2024.10.22-21.08.53
-4.999548,2024.10.22-21.08.53
-4.413018,2024.10.22-21.08.53
-3.934858,2024.10.22-21.08.53
-3.822070,2024.10.22-21.08.53
-3.667303,2024.10.22-21.08.53
-3.614470,2024.10.22-21.08.53
-3.524873,2024.10.22-21.08.53
-3.305070,2024.10.22-21.08.53
-3.451755,2024.10.22-21.08.53
-3.919815,2024.10.22-21.08.53
-4.390634,2024.10.22-21.08.53
-4.926125,2024.10.22-21.08.53
-5.445843,2024.10.22-21.08.53
-5.886742,2024.10.22-21.08.53
-6.336384,2024.10.22-21.08.53
-6.642364,2024.10.22-21.08.54
-6.807307,2024.10.22-21.08.54
-7.069863,2024.10.22-21.08.54
-7.183033,2024.10.22-21.08.54
-7.073682,2024.10.22-21.08.54
-6.752291,2024.10.22-21.08.54
-6.267903,2024.10.22-21.08.54
-5.712244,2024.10.22-21.08.54
-5.094025,2024.10.22-21.08.54
