Speed,ElapsedTimeSeconds
17.130335,10.020000
16.787811,10.031000
16.671850,10.041000
16.449995,10.053000
16.241478,10.064000
16.036760,10.076000
15.838458,10.086000
15.655837,10.097000
15.484338,10.108000
15.315801,10.118000
15.154342,10.129000
15.004248,10.140000
14.865596,10.151000
14.743202,10.161000
14.636191,10.173000
14.545976,10.183000
14.473340,10.196000
14.421680,10.206000
14.395391,10.217000
14.392176,10.228000
14.412086,10.238000
14.457035,10.249000
14.526218,10.260000
14.618487,10.270000
14.731858,10.282000
14.868322,10.292000
15.020375,10.303000
15.180154,10.314000
15.352774,10.325000
15.529319,10.335000
15.706913,10.346000
15.893851,10.356000
16.083937,10.367000
16.270535,10.379000
16.448198,10.389000
16.608318,10.400000
16.744040,10.410000
16.857571,10.421000
16.944813,10.431000
17.003626,10.441000
17.034527,10.452000
17.035088,10.462000
17.008142,10.473000
16.955721,10.483000
16.877590,10.495000
16.779716,10.506000
16.672297,10.516000
16.560696,10.527000
16.445135,10.538000
16.340149,10.549000
16.282385,10.559000
16.276169,10.572000
16.290487,10.582000
16.334368,10.593000
16.396202,10.604000
16.474289,10.615000
16.565336,10.626000
16.667933,10.637000
16.779766,10.647000
16.901571,10.658000
17.032835,10.668000
17.170507,10.679000
17.327051,10.689000
17.502584,10.700000
17.687765,10.710000
17.886383,10.721000
18.099375,10.731000
18.320078,10.742000
18.549006,10.754000
18.778811,10.764000
19.015446,10.775000
19.265858,10.787000
19.520643,10.798000
19.766977,10.808000
20.010176,10.819000
20.258493,10.829000
20.514845,10.840000
20.772503,10.851000
21.019804,10.860000
21.262592,10.872000
21.510181,10.882000
21.753784,10.893000
21.990120,10.903000
22.225504,10.914000
22.456959,10.924000
22.681946,10.935000
22.904375,10.946000
23.126102,10.957000
23.338829,10.968000
23.291855,10.978000
23.228415,10.989000
23.166903,10.999000
23.089035,11.011000
23.004057,11.021000
22.929380,11.032000
22.845135,11.042000
22.744570,11.053000
22.643028,11.064000
22.538185,11.074000
22.998716,11.086000
23.380762,11.097000
23.727308,11.106000
24.093975,11.119000
24.525372,11.132000
24.989223,11.144000
25.470604,11.156000
25.976034,11.170000
26.491009,11.182000
26.978195,11.195000
27.439608,11.208000
27.891867,11.220000
28.300844,11.232000
28.654749,11.243000
28.981693,11.253000
29.460573,11.265000
29.625818,11.277000
29.942381,11.288000
30.241226,11.298000
30.536484,11.309000
30.827888,11.319000
31.114517,11.330000
31.412830,11.340000
31.701929,11.351000
31.975153,11.362000
32.262547,11.374000
32.555805,11.385000
32.835213,11.396000
33.101479,11.406000
33.362148,11.416000
33.618626,11.427000
33.876209,11.438000
34.132271,11.448000
34.383320,11.459000
34.637108,11.470000
34.896488,11.481000
35.156773,11.492000
35.407539,11.503000
35.646839,11.513000
35.882675,11.525000
36.110313,11.535000
36.323330,11.545000
36.530575,11.557000
36.732903,11.568000
36.938099,11.579000
36.957119,11.591000
36.893116,11.602000
36.811794,11.613000
36.717682,11.624000
36.615635,11.635000
36.508877,11.646000
36.391415,11.657000
36.260963,11.668000
36.124298,11.678000
35.978226,11.690000
36.188892,11.700000
36.342499,11.712000
36.454361,11.722000
36.523087,11.734000
36.547501,11.744000
36.534092,11.755000
36.485329,11.766000
36.403683,11.777000
36.289856,11.789000
36.144302,11.800000
35.972706,11.812000
35.783493,11.823000
35.497536,11.834000
35.038086,11.845000
34.635895,11.856000
34.407612,11.867000
34.167770,11.878000
33.930691,11.889000
33.696419,11.901000
33.468807,11.911000
33.249332,11.922000
33.040794,11.933000
32.842247,11.943000
32.649750,11.955000
32.469238,11.965000
32.299469,11.976000
32.130852,11.988000
31.969921,12.000000
31.842070,12.010000
31.745157,12.021000
31.682976,12.032000
31.662973,12.044000
31.688398,12.056000
31.766474,12.066000
31.887665,12.078000
32.043926,12.090000
32.237907,12.101000
32.437000,12.112000
32.647972,12.123000
32.872421,12.134000
32.913475,12.145000
33.152393,12.157000
33.390678,12.168000
33.620102,12.178000
33.838673,12.190000
34.052315,12.200000
34.262539,12.212000
34.471081,12.223000
34.669930,12.234000
34.874748,12.247000
35.077328,12.259000
35.258099,12.269000
35.424389,12.281000
35.585831,12.291000
35.742996,12.303000
35.889854,12.313000
36.029324,12.324000
36.161934,12.335000
36.369484,12.347000
36.475658,12.358000
36.587013,12.369000
36.685211,12.381000
36.770985,12.392000
36.854561,12.404000
36.928898,12.414000
36.992615,12.426000
37.046810,12.436000
37.091686,12.447000
37.127758,12.458000
37.155949,12.471000
37.174297,12.483000
37.180695,12.496000
37.174385,12.510000
37.154907,12.522000
37.123844,12.534000
37.092026,12.547000
37.089169,12.560000
37.125954,12.573000
37.201393,12.584000
37.303955,12.595000
37.438660,12.606000
37.577763,12.617000
37.706860,12.628000
37.832855,12.638000
37.959885,12.649000
38.087921,12.659000
38.221043,12.672000
38.356373,12.682000
38.484680,12.693000
38.610477,12.705000
38.732357,12.716000
38.845181,12.726000
38.949604,12.738000
39.297142,12.748000
39.604706,12.759000
39.841244,12.770000
40.059448,12.781000
40.267063,12.791000
40.460827,12.802000
40.647026,12.814000
40.831528,12.825000
41.001221,12.837000
41.044403,12.847000
41.110195,12.858000
41.151810,12.869000
41.290337,12.880000
41.515919,12.890000
41.737480,12.902000
41.971981,12.912000
42.226711,12.925000
42.494846,12.936000
42.741222,12.947000
42.966068,12.957000
43.086044,12.969000
43.248844,12.981000
43.395233,12.991000
43.529488,13.002000
43.657341,13.013000
43.780304,13.024000
43.899570,13.034000
44.222149,13.045000
44.521091,13.057000
44.789757,13.070000
45.048550,13.080000
45.283714,13.091000
45.511898,13.102000
45.734417,13.113000
45.961746,13.124000
46.186440,13.135000
46.406620,13.146000
46.629089,13.157000
46.847542,13.167000
47.061172,13.179000
47.271820,13.191000
47.405342,13.201000
47.538219,13.212000
47.641369,13.223000
47.809860,13.234000
48.045162,13.246000
48.228413,13.256000
48.405380,13.269000
48.584011,13.281000
48.745548,13.293000
48.881824,13.303000
49.069359,13.316000
49.125137,13.326000
49.227081,13.338000
49.318951,13.349000
49.399002,13.360000
49.465637,13.371000
49.520813,13.381000
49.565777,13.394000
49.610901,13.405000
49.686272,13.416000
49.792187,13.426000
49.926579,13.437000
50.086037,13.448000
50.269444,13.459000
50.477863,13.471000
50.695843,13.481000
51.012913,13.493000
51.120750,13.504000
51.327827,13.515000
51.531765,13.526000
51.737171,13.537000
51.940311,13.549000
52.140488,13.560000
52.346989,13.572000
52.553429,13.583000
52.750488,13.595000
52.741093,13.605000
52.723923,13.617000
52.706627,13.628000
52.690369,13.639000
52.675117,13.651000
52.660492,13.662000
52.646992,13.673000
52.634377,13.685000
52.622871,13.695000
52.891296,13.707000
53.154037,13.718000
53.406857,13.728000
53.652367,13.740000
53.891003,13.750000
54.121468,13.761000
54.350258,13.773000
54.574291,13.784000
54.785133,13.795000
54.991596,13.806000
55.196476,13.816000
55.396915,13.828000
55.598061,13.840000
55.793282,13.851000
55.978325,13.862000
56.160793,13.873000
56.341328,13.883000
56.518932,13.895000
56.693161,13.905000
56.867802,13.917000
57.042652,13.928000
57.212055,13.938000
57.376427,13.949000
57.538475,13.960000
57.701561,13.970000
57.864426,13.982000
58.028088,13.993000
58.193874,14.004000
58.357647,14.016000
58.517128,14.026000
58.677437,14.037000
58.834431,14.048000
58.994678,14.060000
59.166561,14.071000
59.336864,14.083000
59.496147,14.093000
59.650219,14.105000
59.804359,14.115000
59.956730,14.127000
60.111473,14.136000
60.267387,14.148000
60.497803,14.159000
60.576893,14.170000
60.735207,14.181000
60.890488,14.192000
61.047043,14.203000
61.204090,14.215000
61.357265,14.226000
61.511635,14.236000
61.663986,14.248000
61.816261,14.259000
61.974648,14.271000
62.130150,14.281000
62.288864,14.294000
62.459831,14.305000
62.626102,14.317000
62.779270,14.328000
62.934956,14.339000
63.094749,14.351000
63.246758,14.361000
63.401501,14.373000
63.559055,14.384000
63.718033,14.396000
63.791695,14.408000
64.026810,14.420000
64.101273,14.431000
64.245483,14.443000
64.378395,14.453000
64.502815,14.464000
64.623207,14.476000
64.732430,14.486000
64.828827,14.498000
64.917145,14.509000
64.994904,14.520000
65.061874,14.531000
65.119896,14.542000
65.153244,14.554000
65.182213,14.566000
65.245728,14.577000
65.347755,14.588000
65.466293,14.599000
65.602020,14.611000
65.782562,14.622000
65.944412,14.634000
66.100578,14.644000
66.250015,14.656000
66.396416,14.666000
66.537743,14.677000
66.681892,14.689000
66.826057,14.699000
66.966621,14.711000
67.107796,14.722000
67.250259,14.734000
67.394524,14.744000
67.534584,14.756000
67.672958,14.766000
67.812302,14.777000
67.955902,14.789000
68.097916,14.799000
68.212639,14.811000
68.339363,14.822000
68.482895,14.834000
68.621048,14.845000
68.765457,14.855000
68.909462,14.867000
69.051537,14.878000
69.195038,14.888000
69.339912,14.900000
69.483627,14.910000
69.635635,14.922000
69.794228,14.933000
69.951286,14.945000
70.103386,14.956000
70.252136,14.967000
70.401314,14.978000
70.550804,14.989000
70.699806,15.000000
70.849144,15.011000
71.009613,15.023000
71.168839,15.034000
71.318924,15.046000
71.467262,15.056000
71.608322,15.067000
71.751427,15.080000
71.888596,15.091000
72.008232,15.103000
72.114670,15.114000
72.214905,15.126000
72.305359,15.136000
72.381027,15.148000
72.444572,15.161000
72.510643,15.173000
72.606010,15.185000
72.793083,15.196000
72.864143,15.207000
73.018433,15.219000
73.176537,15.230000
73.328667,15.241000
73.349556,15.253000
73.335670,15.265000
73.318130,15.275000
73.299721,15.287000
73.279457,15.298000
73.256271,15.311000
73.229965,15.325000
73.203728,15.336000
73.262352,15.347000
73.439919,15.358000
73.621132,15.370000
73.791580,15.380000
73.961357,15.392000
74.131256,15.403000
74.289749,15.415000
74.441833,15.425000
74.593880,15.437000
74.738968,15.448000
74.877739,15.458000
75.015930,15.470000
75.150375,15.481000
75.281662,15.491000
75.416466,15.503000
75.549484,15.514000
75.676903,15.525000
75.803391,15.536000
75.933060,15.548000
76.061394,15.559000
