YawRotation,PitchRotation,RollRotation,ElapsedTimeSeconds
55.088810,-13.849054,-8.037415,6.654000
55.413956,-13.331060,-8.248759,6.676000
55.626869,-12.672309,-8.441196,6.699000
55.816349,-12.050447,-8.600588,6.721000
56.263477,-11.648798,-8.705905,6.743000
56.655563,-11.287624,-8.873776,6.765000
56.577785,-10.821232,-9.077810,6.788000
56.390320,-10.438727,-9.193637,6.809000
56.478226,-10.140883,-9.459120,6.832000
56.628994,-9.864398,-9.796165,6.854000
56.668991,-9.574456,-10.109744,6.876000
56.733109,-9.448125,-10.657744,6.898000
56.742138,-9.293920,-11.263761,6.921000
56.543110,-9.016136,-11.532217,6.942000
56.117336,-8.984663,-11.852276,6.965000
55.461914,-9.252235,-12.419913,6.987000
54.546940,-9.365507,-12.943000,7.009000
53.330494,-9.681943,-13.185425,7.032000
52.167717,-10.211856,-13.066286,7.054000
51.317307,-10.661781,-12.569765,7.075000
51.085194,-10.934715,-11.921259,7.099000
50.881538,-11.272202,-11.355433,7.122000
50.281776,-11.709287,-10.839348,7.143000
49.193928,-12.237820,-10.361087,7.165000
47.844707,-12.912554,-9.929040,7.188000
46.824390,-13.698927,-9.541843,7.210000
46.022900,-14.299068,-9.515933,7.233000
45.265121,-14.765085,-9.862019,7.254000
44.419567,-15.100598,-10.452282,7.276000
43.520596,-15.464749,-11.093973,7.301000
42.778767,-15.826367,-11.285997,7.323000
42.266438,-16.171900,-11.066304,7.346000
41.679565,-16.539145,-10.941607,7.365000
41.063862,-16.919621,-10.775746,7.390000
40.305649,-16.858784,-10.380498,7.411000
39.796394,-16.670401,-9.964191,7.433000
39.377502,-16.643347,-9.695806,7.455000
38.788940,-16.855246,-9.479274,7.477000
38.099911,-17.116297,-9.143097,7.500000
37.436096,-17.458700,-8.922761,7.522000
37.262150,-17.593119,-9.006302,7.545000
37.781727,-17.034033,-9.187631,7.567000
38.369934,-15.945144,-9.144319,7.590000
38.593513,-15.327805,-8.600611,7.611000
39.282372,-14.833244,-7.788244,7.633000
40.183445,-14.216805,-6.951206,7.656000
40.556797,-13.302189,-5.897424,7.677000
40.491886,-12.113935,-4.705487,7.701000
40.515591,-10.552232,-3.999575,7.722000
40.206608,-8.460562,-3.933907,7.744000
39.629578,-5.741095,-4.304984,7.767000
38.803623,-1.954916,-4.190143,7.789000
38.204350,-1.013846,-4.652025,7.812000
37.389034,0.701720,-5.762072,7.833000
36.566322,2.642429,-7.280039,7.855000
35.704380,4.819675,-9.112336,7.878000
34.732788,6.552371,-10.852951,7.900000
33.996880,7.944555,-12.301947,7.922000
33.441677,8.759478,-13.357484,7.944000
32.951057,9.474586,-13.821139,7.967000
32.502186,10.293587,-13.823176,7.989000
32.105915,10.964045,-13.598804,8.011000
31.923466,11.393411,-13.239905,8.034000
31.950596,12.034322,-13.158672,8.055000
32.132008,12.724799,-13.369377,8.078000
32.484383,13.345164,-13.737103,8.100000
33.078579,14.065455,-14.043349,8.123000
34.005486,14.650988,-14.232719,8.144000
35.162273,15.187655,-14.167782,8.167000
36.311928,15.879424,-14.129416,8.189000
37.538830,17.037142,-13.777587,8.212000
38.523903,18.005758,-13.500091,8.234000
39.188862,18.951746,-13.212101,8.255000
39.773907,20.015862,-13.029378,8.277000
40.063080,21.039495,-13.261821,8.299000
39.865646,22.155834,-13.903665,8.322000
39.767063,23.093443,-14.512195,8.344000
39.956116,23.839285,-14.743077,8.366000
40.032745,25.082283,-14.638254,8.389000
40.414379,25.018169,-14.982182,8.410000
40.536087,25.447317,-14.495252,8.433000
40.855045,26.544102,-13.118796,8.454000
40.960495,26.712862,-11.802954,8.477000
40.876957,26.680384,-10.353959,8.500000
40.373924,26.586748,-9.078712,8.522000
39.353962,25.764183,-8.211718,8.544000
37.949806,25.068069,-7.636292,8.567000
36.587776,24.099003,-7.674344,8.589000
35.472046,23.279251,-7.662399,8.610000
34.739582,22.621422,-7.425709,8.633000
34.519749,22.069118,-7.088696,8.655000
34.618164,21.398552,-6.489272,8.678000
35.137890,20.735695,-5.738082,8.699000
35.659389,20.146816,-5.171334,8.721000
35.863789,19.112766,-4.913544,8.744000
35.972404,18.191355,-5.154455,8.766000
36.123470,17.590891,-5.587459,8.788000
36.112225,17.189898,-6.175247,8.811000
36.185478,16.958757,-6.414794,8.832000
36.386826,16.955725,-6.218841,8.856000
36.205933,16.970785,-5.824839,8.878000
35.780861,16.766262,-5.369651,8.900000
35.197678,16.666105,-4.951400,8.922000
34.645454,16.713835,-4.702634,8.944000
33.944901,16.994883,-4.650751,8.966000
33.120949,16.760798,-4.324210,8.988000
32.502838,16.995941,-3.956435,9.011000
32.274117,17.425573,-3.401011,9.032000
32.585552,17.612680,-2.153727,9.054000
32.824688,17.957981,-1.076340,9.079000
32.815281,18.271309,-0.391710,9.100000
32.721214,18.678688,0.149218,9.123000
33.268608,19.560137,0.357128,9.144000
34.456226,20.715525,0.399395,9.167000
35.952888,22.468439,1.133602,9.189000
37.272003,23.404331,1.358234,9.211000
37.942425,23.935556,1.775207,9.232000
38.469673,24.412584,2.590123,9.254000
39.218365,24.994699,3.136715,9.278000
40.066505,25.036249,3.453475,9.301000
40.822567,24.991688,3.656332,9.325000
41.614170,25.149937,3.946078,9.345000
42.760342,25.624784,4.558403,9.367000
44.028030,26.136442,5.445714,9.389000
44.902271,26.265232,6.130970,9.412000
45.094364,25.967886,6.576802,9.434000
45.201591,25.616909,6.548319,9.456000
45.175293,25.401848,6.098672,9.478000
44.874512,25.167210,5.436440,9.500000
44.646870,25.070202,4.803384,9.523000
44.378139,24.988403,4.274364,9.545000
43.867535,24.404436,3.448441,9.567000
43.137661,23.899656,2.326730,9.589000
42.295700,23.764809,1.088284,9.613000
40.973618,23.424597,-0.277366,9.635000
39.312847,23.186653,-1.356537,9.656000
37.878235,22.636782,-2.324795,9.679000
36.685764,21.478853,-3.712717,9.702000
35.624374,20.190496,-5.147710,9.724000
35.232185,19.002712,-6.349414,9.746000
34.687840,17.959599,-7.409006,9.768000
34.020752,16.690386,-8.243270,9.790000
33.308071,15.048968,-8.919621,9.812000
32.986629,13.948441,-9.453693,9.834000
32.459530,12.989421,-10.084008,9.856000
31.704660,11.921569,-11.069571,9.879000
30.920698,10.906035,-12.161416,9.901000
30.403936,9.669464,-13.321424,9.924000
29.891983,8.198835,-14.310951,9.945000
29.375278,6.717627,-15.152394,9.968000
29.174370,5.199686,-15.684834,9.990000
29.541952,3.956496,-16.011198,10.013000
30.028782,2.887483,-15.927155,10.034000
30.347717,1.908198,-15.644625,10.057000
30.559813,0.993267,-15.631017,10.078000
30.448606,0.094905,-16.054775,10.102000
30.610987,-0.741417,-16.620710,10.123000
30.941898,-1.629253,-17.086155,10.145000
31.257792,-2.411835,-17.287590,10.168000
31.520214,-2.907434,-17.230946,10.190000
31.966175,-2.970763,-17.061352,10.213000
32.287167,-3.031791,-16.960247,10.234000
32.290363,-3.383614,-17.196112,10.256000
32.212826,-3.492173,-17.369883,10.278000
32.091640,-3.368034,-17.466103,10.301000
31.718113,-3.288545,-17.606377,10.323000
31.444489,-3.485794,-17.817915,10.346000
31.143717,-3.514808,-18.316982,10.368000
30.806686,-3.755443,-18.721893,10.390000
30.388119,-3.855683,-18.861326,10.413000
30.271561,-3.819824,-18.863920,10.434000
30.184654,-3.665817,-18.840685,10.456000
29.911364,-3.606859,-18.945374,10.479000
29.456013,-3.796977,-19.249018,10.501000
28.858736,-4.331330,-19.624779,10.524000
28.115770,-4.627521,-19.988663,10.545000
27.482300,-4.594729,-20.340675,10.567000
27.381884,-4.563700,-20.948259,10.589000
27.336315,-4.677600,-21.615108,10.612000
27.064116,-5.015216,-22.241400,10.635000
26.783691,-5.402017,-22.746447,10.656000
26.406260,-5.389210,-23.294008,10.679000
26.265104,-5.733991,-23.913677,10.701000
26.430946,-6.266336,-24.411167,10.723000
26.674429,-6.418417,-24.799654,10.745000
26.936813,-6.036459,-25.011074,10.768000
27.337334,-6.081785,-25.208773,10.790000
27.770979,-6.286109,-25.409386,10.813000
