YawRotation,PitchRotation,RollRotation,ElapsedTimeSeconds
-23.128387,9.287642,5.281760,6.393000
-22.819807,8.199526,4.961256,6.404000
-22.234951,6.375114,4.333324,6.426000
-21.923218,5.461350,3.999274,6.437000
-21.385208,3.652525,3.558208,6.457000
-21.028669,2.461190,3.409037,6.471000
-20.366940,0.241543,3.239653,6.491000
-19.893448,-1.244938,3.169489,6.505000
-18.995691,-3.525846,3.312242,6.525000
-18.324106,-5.016213,3.380261,6.539000
-17.447691,-6.602662,3.506786,6.559000
-16.384066,-7.734410,3.204629,6.580000
-15.899775,-7.957443,2.844435,6.591000
-14.884662,-8.083399,1.797145,6.614000
-14.339560,-7.770077,1.433322,6.625000
-13.364090,-7.236667,1.003365,6.643000
-12.384663,-6.527843,0.803591,6.664000
-11.379220,-6.147505,0.824230,6.687000
-10.430319,-6.189654,0.896303,6.709000
-9.623112,-6.725325,1.120205,6.731000
-8.933693,-7.660870,1.517685,6.754000
-8.417352,-8.978427,1.877571,6.776000
-7.929102,-10.014655,1.991364,6.798000
-7.476258,-10.578822,1.641315,6.820000
-7.064093,-10.715856,0.995248,6.842000
-6.638972,-10.688487,0.522842,6.865000
-6.306069,-10.977425,0.535058,6.887000
-6.028786,-11.041588,0.825755,6.910000
-5.838748,-10.911917,0.932197,6.931000
-5.674019,-10.338379,0.952889,6.954000
-5.340601,-9.714776,0.864452,6.975000
-4.855694,-9.105249,0.709530,6.998000
-4.368411,-8.855353,0.696858,7.021000
-3.876510,-8.719036,0.756979,7.042000
-3.269925,-8.389384,0.904484,7.064000
-2.496445,-8.019113,0.878724,7.087000
-1.644185,-7.364583,1.162947,7.109000
-0.619939,-6.296594,1.365473,7.132000
0.255896,-5.360353,1.634062,7.153000
1.240551,-4.304617,1.902023,7.175000
2.483821,-3.016806,2.137732,7.197000
3.972226,-1.440931,2.319353,7.220000
5.606421,0.270639,2.522918,7.242000
7.343178,2.215836,2.587724,7.264000
9.465178,4.749208,2.557221,7.288000
11.756185,7.172101,2.545898,7.309000
13.986020,9.476320,2.413939,7.332000
16.164688,11.844237,2.297460,7.354000
18.578257,14.134877,2.406974,7.376000
21.219963,16.075874,2.344381,7.399000
23.559259,17.611675,2.178639,7.419000
25.899630,18.963890,2.248272,7.442000
27.855854,19.589705,2.187451,7.463000
29.696974,19.910007,2.139682,7.486000
31.266020,20.050013,2.247562,7.508000
32.500816,19.972448,2.333521,7.530000
33.270542,19.626446,2.187696,7.552000
33.692219,19.159151,1.937298,7.575000
33.890461,18.603209,1.571260,7.597000
34.011864,17.923468,1.139210,7.616000
34.079845,17.121979,0.750941,7.639000
34.240829,16.307152,0.328365,7.661000
34.465622,15.571328,0.031250,7.683000
34.863037,14.988788,-0.030093,7.705000
35.325367,14.402218,0.086443,7.728000
35.813335,13.589323,0.315775,7.750000
36.268929,12.438293,0.360595,7.772000
36.721519,11.040515,0.240993,7.796000
37.160393,9.851632,0.115291,7.817000
37.408497,8.620265,-0.234360,7.839000
37.230915,7.456087,-0.630312,7.861000
37.073788,6.441196,-0.914547,7.883000
37.079773,5.742352,-1.069988,7.906000
37.068172,5.489853,-0.948262,7.928000
36.910984,5.480598,-0.560217,7.951000
36.699657,5.361022,0.019430,7.972000
36.672588,4.989870,0.769957,7.995000
36.690285,4.753142,1.252282,8.016000
36.656868,4.842440,1.786724,8.039000
36.914799,4.953977,2.727602,8.062000
37.709221,4.733785,3.775356,8.084000
38.667133,4.397269,4.484922,8.106000
39.682735,4.317833,4.647510,8.127000
40.870289,4.702551,4.287956,8.150000
42.023621,5.012839,4.165945,8.173000
43.057961,5.117177,4.409153,8.194000
43.793716,4.919041,4.784386,8.216000
44.044434,4.461650,5.069472,8.239000
44.075962,4.092765,5.217741,8.261000
44.179237,3.906089,5.689043,8.283000
44.458927,4.046648,6.478734,8.306000
44.865120,4.764221,7.842362,8.327000
45.475975,6.046021,9.737114,8.350000
46.393044,7.401780,11.954803,8.373000
47.199005,8.533884,14.012733,8.394000
47.719635,9.700876,15.910947,8.417000
47.896553,11.046990,17.562382,8.438000
